name,opening_hours,amenity,tourism,shop,healthcare,leisure,sport,craft,building,geometry
Musée des Beaux-Arts de Montréal,We-Su 10:00-17:00; Mo off,,museum,,,,,,,POINT (-73.5793984 45.4986994)
Noodles Star,Mo-Su 11:00-23:00,restaurant,,,,,,,,POINT (-73.5804177 45.493071)
,6:00-22:00,,,,,,,,,POINT (-73.51725690000001 45.492259)
Maxi,Mo-Su 08:00-22:00,,,supermarket,,,,,,POINT (-73.46780630000001 45.4602458)
Ben & Florentine,"Mo-Sa 06:00-15:00, Su 07:00-15:00",restaurant,,,,,,,,POINT (-73.46731370000001 45.4692958)
Le Pavillon Lilas,Mo-Su 11:00-23:00,restaurant,,,,,,,,POINT (-73.46902179999999 45.4690623)
TD Canada Trust,Mo-Tu 08:00-16:00; We-Fr 08:00-20:00; Sa 08:00-16:00,bank,,,,,,,,POINT (-73.4721684 45.4472453)
Café Expressions,Mo-Su 07:30-22:00,cafe,,,,,,,,POINT (-73.58014300000001 45.5272177)
Pharmacie Jean-Coutu,Mo-Fr 8:00-22:00; Sa-Su 9:00-22:00,pharmacy,,,,,,,,POINT (-73.6245969 45.4972097)
Schwartz's,Su-Th 10:30-00:30; Sa 10:30-02:30; Fr 10:30-01:30,restaurant,,,,,,,,POINT (-73.5776163 45.5163162)
Les co'pains d'abord,Mo-Fr 07:00-20:00;Sa 07:00-19:00;Su 08:00-18:00,,,bakery,,,,,,POINT (-73.5734106 45.5343567)
LOV,"Mo-We 11:30-22:00; Th, Fr 11:30-23:00; Sa 10:00-23:00; Su 10:00-22:00",restaurant,,,,,,,,POINT (-73.5745764 45.497423)
Subway,Mo-Fr 07:00-22:00; Sa 08:00-20:00; Su 09:00-20:00,fast_food,,,,,,,,POINT (-73.56487 45.4931763)
Coba,Mo-Fr 08:00-20:00; Sa-Su 09:00-20:00,cafe,,,,,,,,POINT (-73.56402749999999 45.4942397)
Distillerie No 2,Mo-Su 16:00-03:00,pub,,,,,,,,POINT (-73.57271040000001 45.5351163)
Caisse populaire du Mont-Royal,"Mo-Tu, Fr 09:00-17:00; We-Th 09:00-20:00; Sa 09:00-15:00",bank,,,,,,,,POINT (-73.58262999999999 45.5245291)
Imadake,Su-We 17:00-22:30; Th 17:00-23:30; Fr-Sa 17:00-01:00,restaurant,,,,,,,,POINT (-73.5848834 45.4888033)
L'Entrepôt du Cadre,Mo-Tu 09:30-18:00; We-Fr 09:30-21:00; Sa 09:00-17:00; Su 10:00-17:00,,,art;portrait,,,,,,POINT (-73.4440867 45.4513937)
Artemano,Mo-Tu 10:00-18:00; We-Fr 10:00-21:00; Sa-Su 10:00-17:00,,,furniture,,,,,,POINT (-73.4362172 45.4418533)
Pierrette Patates,"Th-Sa 11:00-21:00, Tu,We,Su 11:00-20:00",fast_food,,,,,,,,POINT (-73.57094840000001 45.4649596)
Fruiterie Soleil,"Mo-Fr 08:00-20:00, Sa,Su 09:00-19:00",,,supermarket,,,,,,POINT (-73.56933479999999 45.4630453)
JYSK,Mo-Tu 10:00-18:00; We-Fr 10:00-21:00; Sa-Su 10:00-17:00,,,furniture,,,,,,POINT (-73.4360724 45.4405343)
McKibbins Irish Pub,Mo-Su 11:30-3:00,pub,,,,,,,,POINT (-73.57107139999999 45.5133895)
Shish-Taouk,Mo-Th 11:00-22:00,fast_food,,,,,,,,POINT (-73.57309290000001 45.5142828)
Subway,"Mo-Th 09:00-22:00, Fr 09:00-04:00, Sa 09:30-04:00, Su 09:30-21:00",fast_food,,,,,,,,POINT (-73.57337339999999 45.5141987)
Bar Bifteck,Mo-Su 14:00-03:00,bar,,,,,,,,POINT (-73.5743171 45.5146174)
National Bank,"Sunday Closed, Monday 10:00 am – 3:00 pm, Tuesday 10:00 am – 3:00 pm, Wednesday 10:00 am – 5:00 pm Thursday 10:00 am – 8:00 pm, Friday 10:00 am – 5:00 pm, Saturday Closed",bank,,,,,,,,POINT (-73.6893206 45.509918)
Provi-Soir,Mo-Su 06:00-23:00,,,convenience,,,,,,POINT (-73.6014946 45.5488825)
Uniprix,Mo-Fr 09:00-20:00; Sa 09:00-17:00; Su 10:00-17:00,pharmacy,,,,,,,,POINT (-73.7938238 45.635168)
