Feature,Importance
LT_EDU,0.03855165
LT_SHOP,0.02793247
midnight,0.02643219
weekday,0.02031451
LT_LEISURE,0.01231179
midday,0.00807969
distance_m,0.00719469
mode,0.0063483
LT_PICKUP,0.005578699
evening,0.003347116
duration,0.003270148
G_STORE,0.002654364
afternoon,0.002270104
LT_HEAL,0.001731509
G_FOOD,0.001038462
G_LEISURE,0.000961908
G_HEALTH,0.000846524
G_MONEY,0.000654157
LT_FOOD,0.000653787
G_EDU,0.000538624
morning,0.000423225
G_IMPROVE,0.00038466
G_CIVIC,0.000230828
G_LODGE,0.00015395
G_AUTO,5.91944E-08
G_CARE,-3.85355E-05
G_RELIGION,-0.000769468
G_TRANS,-0.000884926
G_BAR,-0.001731406
