Feature,Importance,LEISURE,FOOD,SHOP,PICKUP,EDU,HEALTH,
LT_SHOP,0.053249,-354,-49,-691,-68,-114,-11,-1287
LT_EDU,0.047863,-28,-23,-82,-28,-1065,-10,-1236
midnight,0.029126,-343,-29,-236,-19,-132,-14,-773
LT_LEISURE,0.022277,-396,-42,-112,-55,-60,-11,-676
weekday,0.015082,-117,-13,23,-55,-157,-17,-336
LT_PICKUP,0.010119,-6,-8,17,-243,-2,0,-242
LT_FOOD,0.006387,-61,-110,21,-13,-7,0,-170
evening,0.005656,75,-12,-146,-12,-19,-6,-120
mode,0.005464,-12,-48,-37,-14,-33,-4,-148
midday,0.004963,-3,-4,-19,-29,-60,-21,-136
distance_m,0.004963,-9,-18,-57,-6,-11,-3,-104
G_FOOD,0.004117,-40,-45,20,-7,-11,-6,-89
G_STORE,0.004078,-66,-16,-61,-17,-11,-9,-180
duration,0.00354,18,-1,-62,-5,-16,-8,-74
afternoon,0.003001,60,-40,-73,-7,-7,-2,-69
LT_HEAL,0.002539,-15,-10,3,-7,3,-49,-75
G_HEALTH,0.001847,5,-1,-15,-2,-2,-32,-47
G_TRANS,0.001654,-12,-10,-15,-10,-9,-1,-57
G_LEISURE,0.001616,11,-6,-7,-5,-8,1,-14
G_EDU,0.001193,0,-4,-27,-4,-27,-7,-69
G_BAR,0.001077,-31,-10,7,-1,-2,0,-37
G_MONEY,0.000885,1,-1,-22,-4,-6,1,-31
morning,0.000654,-7,-5,-1,0,0,-3,-16
G_IMPROVE,0.000616,1,-1,-3,-2,-2,-1,-8
G_LODGE,0.000577,-12,-5,0,-1,-1,1,-18
G_CIVIC,0.000577,-6,0,-1,-2,0,0,-9
G_CARE,0.000539,-2,-5,1,-2,-3,-2,-13
G_RELIGION,0.000308,0,2,0,0,-4,0,-2
G_AUTO,0.000231,-1,-2,-4,-3,-2,-1,-13
,,,,,,,,
