precipitation,temperature,dt
4.4875476334395314e-06,21.655904678839022,2017-09-18 00:00:00
0.0,20.89117713490367,2017-09-18 01:00:00
0.0,20.182103617076734,2017-09-18 02:00:00
0.0,19.452417496987437,2017-09-18 03:00:00
0.0,18.951943514056154,2017-09-18 04:00:00
0.0,18.613484584907383,2017-09-18 05:00:00
0.0,18.353765796400978,2017-09-18 06:00:00
0.0,17.44062751617622,2017-09-18 07:00:00
0.0,17.317364154647066,2017-09-18 08:00:00
0.0,17.101756334982213,2017-09-18 09:00:00
0.0,16.910883638032317,2017-09-18 10:00:00
9.972328074321635e-07,16.815241163534722,2017-09-18 11:00:00
9.972328074321635e-07,18.007061826347297,2017-09-18 12:00:00
1.4958492111465105e-06,20.940647380333417,2017-09-18 13:00:00
1.4958492111465105e-06,23.092603056529015,2017-09-18 14:00:00
1.4958492111465105e-06,24.573824655105796,2017-09-18 15:00:00
2.7423902204365413e-05,25.618059085719437,2017-09-18 16:00:00
4.238239431583746e-05,26.38443563783585,2017-09-18 17:00:00
5.5346420812448643e-05,26.839974147835107,2017-09-18 18:00:00
5.883673563845948e-05,26.664354776559378,2017-09-18 19:00:00
6.18284340607525e-05,26.65940775201642,2017-09-18 20:00:00
9.872604793571826e-05,25.86005103628014,2017-09-18 21:00:00
9.872604793571826e-05,24.666993617331855,2017-09-18 22:00:00
9.872604793571826e-05,23.162685904221178,2017-09-18 23:00:00
9.872604793571826e-05,22.09454085498311,2017-09-19 00:00:00
0.0,21.4023696710114,2017-09-19 01:00:00
0.0,20.787701871546346,2017-09-19 02:00:00
0.0,20.28228086407205,2017-09-19 03:00:00
0.0,19.928156357203875,2017-09-19 04:00:00
0.0,19.533218897856102,2017-09-19 05:00:00
0.0,19.117256584200675,2017-09-19 06:00:00
0.0,18.65017501693444,2017-09-19 07:00:00
0.0,18.47702915793019,2017-09-19 08:00:00
0.0,18.16412985558685,2017-09-19 09:00:00
0.0,17.90729683139722,2017-09-19 10:00:00
0.0,17.838862991886003,2017-09-19 11:00:00
0.0,18.627913406491075,2017-09-19 12:00:00
0.0,19.861371525873665,2017-09-19 13:00:00
0.0,21.027632561880807,2017-09-19 14:00:00
0.0,22.064446455680013,2017-09-19 15:00:00
0.0,23.311096640510527,2017-09-19 16:00:00
0.0,24.007390344934777,2017-09-19 17:00:00
0.0,24.93495744674317,2017-09-19 18:00:00
0.0,25.85221824742041,2017-09-19 19:00:00
0.0,25.817176823574357,2017-09-19 20:00:00
0.0,25.44656223489619,2017-09-19 21:00:00
0.0,23.788072256862733,2017-09-19 22:00:00
0.0,22.212444939924126,2017-09-19 23:00:00
0.0,20.694945161365524,2017-09-20 00:00:00
0.0,19.589697428055104,2017-09-20 01:00:00
0.0,18.992756466535695,2017-09-20 02:00:00
0.0,18.618843861495577,2017-09-20 03:00:00
0.0,18.19711001920666,2017-09-20 04:00:00
0.0,17.74775528988613,2017-09-20 05:00:00
0.0,17.341274773271437,2017-09-20 06:00:00
0.0,17.12690370974235,2017-09-20 07:00:00
0.0,16.918716426892047,2017-09-20 08:00:00
0.0,16.59798433568892,2017-09-20 09:00:00
0.0,16.29992610697451,2017-09-20 10:00:00
